OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Region Index,Product  Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 000225,1-01-2017,13-01-2017,28,Wholesale,NZD,AXW291,71,11,6,2499.1,1824.34,14994.6
SO - 0003378,1-01-2017,06-01-2017,7,Distributor,NZD,AXW291,54,7,11,2351.7,1269.92,25868.7
SO - 0003901,1-01-2017,05-01-2017,12,Wholesale,NZD,AXW291,58,13,5,1728.6,1019.87,8643.0
SO - 0005126,1-01-2017,17-01-2017,5,Wholesale,USD,AXW291,29,7,6,978.2,684.74,5869.2
SO - 0005614,1-01-2017,07-01-2017,27,Export,NZD,AXW291,31,6,7,2338.3,1028.85,16368.1
SO - 0005781,1-01-2017,15-01-2017,44,Wholesale,GBP,AXW291,78,9,8,2291.4,1260.27,18331.2
SO - 0002911,2-01-2017,15-01-2017,37,Wholesale,EUR,AXW291,2,2,6,911.2,665.18,5467.2
SO - 0003527,2-01-2017,19-01-2017,8,Wholesale,USD,AXW291,77,9,11,1701.8,1429.51,18719.8
SO - 0004792,2-01-2017,13-01-2017,14,Wholesale,NZD,AXW291,82,11,6,167.5,83.75,1005.0
SO - 0005414,2-01-2017,05-01-2017,47,Wholesale,USD,AXW291,71,7,7,1835.8,1413.57,12850.6
SO - 0005609,2-01-2017,10-01-2017,22,Distributor,NZD,AXW291,5,1,7,3966.4,1903.87,27764.8
SO - 0006308,2-01-2017,19-01-2017,39,Wholesale,USD,AXW291,42,1,8,214.4,124.35,1715.2
SO - 0006534,2-01-2017,11-01-2017,46,Distributor,NZD,AXW291,87,2,9,5152.3,3709.66,46370.7
SO - 0007139,2-01-2017,09-01-2017,45,Wholesale,NZD,AXW291,80,1,6,2418.7,1910.77,14512.2
SO - 000450,3-01-2017,19-01-2017,20,Wholesale,EUR,AXW291,38,7,7,1078.7,906.11,7550.9
SO - 000848,3-01-2017,12-01-2017,36,Wholesale,NZD,AXW291,97,1,9,2217.7,1596.74,19959.3
SO - 0001724,3-01-2017,19-01-2017,30,Wholesale,AUD,AXW291,88,9,11,1038.5,633.49,11423.5
SO - 0002078,3-01-2017,14-01-2017,5,Wholesale,GBP,AXW291,6,2,5,3999.9,3279.92,19999.5
SO - 0002795,3-01-2017,09-01-2017,11,Wholesale,NZD,AXW291,95,5,12,3872.6,2517.19,46471.2
SO - 0003775,3-01-2017,15-01-2017,5,Distributor,GBP,AXW291,37,2,12,891.1,516.84,10693.2
SO - 0004247,3-01-2017,14-01-2017,14,Export,NZD,AXW291,53,1,6,3879.3,2056.03,23275.8
SO - 0004386,3-01-2017,08-01-2017,39,Distributor,AUD,AXW291,77,7,9,1045.2,418.08,9406.8
SO - 0004592,3-01-2017,06-01-2017,17,Wholesale,NZD,AXW291,6,2,12,5406.9,3676.69,64882.8
SO - 0005716,3-01-2017,08-01-2017,11,Wholesale,NZD,AXW291,60,2,12,234.5,189.95,2814.0
SO - 0005751,3-01-2017,21-01-2017,29,Wholesale,NZD,AXW291,47,2,5,1943.0,1651.55,9715.0
SO - 0006419,3-01-2017,18-01-2017,41,Distributor,USD,AXW291,30,2,10,1058.6,666.92,10586.0
SO - 0006790,3-01-2017,13-01-2017,33,Wholesale,USD,AXW291,63,1,10,2532.6,1696.84,25326.0
SO - 0006962,3-01-2017,10-01-2017,34,Distributor,GBP,AXW291,65,11,9,2720.2,1251.29,24481.8
SO - 0007587,3-01-2017,06-01-2017,5,Export,USD,AXW291,27,6,10,2391.9,1363.38,23919.0
SO - 0001259,4-01-2017,11-01-2017,50,Distributor,AUD,AXW291,28,1,8,3825.7,2601.48,30605.6
SO - 0002564,4-01-2017,13-01-2017,43,Wholesale,AUD,AXW291,83,7,12,167.5,103.85,2010.0
SO - 0002922,4-01-2017,15-01-2017,44,Wholesale,EUR,AXW291,83,1,6,247.9,123.95,1487.4
SO - 0002932,4-01-2017,12-01-2017,29,Wholesale,GBP,AXW291,59,1,5,1112.2,544.98,5561.0
SO - 0004007,4-01-2017,13-01-2017,39,Wholesale,NZD,AXW291,99,11,11,1011.7,586.79,11128.7
SO - 0004967,4-01-2017,09-01-2017,29,Distributor,AUD,AXW291,92,8,12,3845.8,2230.56,46149.6
SO - 0005147,4-01-2017,18-01-2017,48,Export,NZD,AXW291,23,11,6,1065.3,777.67,6391.8
SO - 0005582,4-01-2017,11-01-2017,17,Wholesale,AUD,AXW291,70,8,7,2539.3,1625.15,17775.1
SO - 0007099,4-01-2017,20-01-2017,42,Distributor,USD,AXW291,99,5,7,3899.4,1598.75,27295.8
SO - 000513,5-01-2017,15-01-2017,35,Distributor,USD,AXW291,25,5,11,3946.3,2012.61,43409.3
SO - 0001219,5-01-2017,20-01-2017,20,Wholesale,NZD,AXW291,54,7,5,180.9,130.25,904.5
SO - 0001802,5-01-2017,10-01-2017,9,Distributor,USD,AXW291,11,13,9,1159.1,533.19,10431.9
SO - 0003588,5-01-2017,15-01-2017,26,Export,NZD,AXW291,100,7,7,214.4,137.22,1500.8
SO - 0005064,5-01-2017,11-01-2017,31,Distributor,USD,AXW291,68,11,8,2626.4,1365.73,21011.2
SO - 0005739,5-01-2017,20-01-2017,37,Wholesale,GBP,AXW291,2,7,5,1132.3,600.12,5661.5
SO - 0001627,6-01-2017,09-01-2017,47,Distributor,NZD,AXW291,58,14,10,3959.7,3009.37,39597.0
SO - 0002047,6-01-2017,09-01-2017,46,Wholesale,AUD,AXW291,11,11,9,1775.5,994.28,15979.5
SO - 0003949,6-01-2017,12-01-2017,10,Wholesale,USD,AXW291,11,7,6,3088.7,2069.43,18532.2
SO - 0003973,6-01-2017,20-01-2017,4,Wholesale,USD,AXW291,80,8,7,6170.7,4998.27,43194.9
SO - 0004731,6-01-2017,19-01-2017,47,Distributor,NZD,AXW291,29,11,6,2532.6,1696.84,15195.6
SO - 0005824,6-01-2017,17-01-2017,21,Wholesale,NZD,AXW291,5,13,6,1112.2,778.54,6673.2
SO - 0006514,6-01-2017,19-01-2017,36,Wholesale,NZD,AXW291,30,10,10,1078.7,431.48,10787.0
